Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade total de reclamações respondidas;Quantidade de reclamações procedentes;Quantidade de reclamações procedentes extrapoladas;Quantidade total de reclamações analisadas;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;STONE IP (conglomerado);19,06;1606;78;270;462;14153075;14152920;164;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SUMUP IP (conglomerado); ;80;0;0;27;130;0;130;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SUPERBID PAY IP (conglomerado); ;13;2;5;5;440002;440002;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SWAP IP (conglomerado); ;58;11;21;31;2800523;2790526;492385;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SWILE IP (conglomerado); ;16;3;10;5;1624;1624;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;TODESCREDI S/A - CFI (conglomerado); ;6;0;0;2;48196;12;48184;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;TRANSFEERA IP (conglomerado); ;11;1;11;1;2664;2664;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;TRANSFERO IP (conglomerado); ;9;0;0;1;11;11;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;TRIO IP (conglomerado); ;27;10;16;17;236;236;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;TYCOON TECHNOLOGY IP (conglomerado); ;26;17;18;24;2266;2266;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;UBS (BRASIL) (conglomerado); ;3;0;0;1;4801;4798;114;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;V3 IP (conglomerado); ;15;11;15;11;43672;43672;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;VALOR CFI (conglomerado); ;69;19;35;38;39566;3;39563;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;VIA CERTA CFI (conglomerado); ;36;0;0;21;266039;738;265315;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;VISA CONECTA IP (conglomerado); ;43;0;0;30;0;0;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;VOLKSWAGEN (conglomerado);212,63;494;83;133;308;626072;310;625888;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;VOLVO (conglomerado); ;6;0;0;2;9318;41;9281;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;VOTORANTIM (conglomerado);59,55;3041;196;564;1087;9466914;7318240;3675636;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;VOX IP (conglomerado); ;4;2;4;2;357966;0;357966;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;VR (conglomerado); ;11;1;11;1;39027;1088;38126;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;23862762;WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;111,77;4647;241;1464;765;13097594;13097594;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;WISE BRASIL CC (conglomerado); ;150;27;42;96;4544271;4544271;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;WOOVI IP (conglomerado); ;32;7;14;16;2851;2851;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;XP (conglomerado);33,89;885;108;236;405;6963052;6960694;1180141;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;YAMAHA MOTOR (conglomerado); ;104;9;12;77;268428;279;268189;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;Z1 INSTITUIÇÃO DE PAGAMENTO (conglomerado); ;1;0;0;4;8;8;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ZEMA CFI (conglomerado); ;123;25;28;108;334814;42308;310339;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ZERO IP (conglomerado); ;22;2;4;10;60240;60240;0;
